date,origin,destination,vessel_class,freight_rate,congestion,weather_alert,geopolitics_index,fuel_cost
2026-07-24,HAMP,PRDP,capesize,15.05,22,False,9.229109727853066,593.8635192052556
2026-07-25,HAMP,PRDP,capesize,15.16,20,False,10.0922092381881,594.0985116216818
2026-07-26,HAMP,PRDP,capesize,15.12,17,False,10.596041738121855,604.1320275303412
2026-07-27,HAMP,PRDP,capesize,15.14,20,False,10.927171865058924,590.5494021903468
2026-07-28,HAMP,PRDP,capesize,15.22,22,False,10.302998984972811,601.2855648948844
2026-07-29,HAMP,PRDP,capesize,15.06,20,False,9.138586181939768,598.5653992424559
2026-07-30,HAMP,PRDP,capesize,15.13,21,False,10.868866113816166,594.723535194014
2026-07-31,HAMP,PRDP,capesize,15.16,19,False,10.140836971684955,592.4016250797421
2026-08-01,HAMP,PRDP,capesize,14.99,15,False,9.82845026484093,591.3760152049913
2026-08-02,HAMP,PRDP,capesize,15.17,22,False,10.351933159134875,597.1680706402101
2026-08-03,HAMP,PRDP,capesize,15.18,15,False,9.077061832962862,597.9523549850487
2026-08-04,HAMP,PRDP,capesize,15.14,17,False,9.632251044629545,604.0454070578761
2026-08-05,HAMP,PRDP,capesize,15.18,17,False,9.489040206774199,604.1948689606772
2026-08-06,HAMP,PRDP,capesize,15.0,21,False,10.064790205080689,590.0367373357907
2026-08-07,HAMP,PRDP,capesize,15.1,20,False,10.214791939892457,596.287682212372
2026-08-08,HAMP,PRDP,capesize,15.05,17,False,9.762348072748793,590.3575494999792
2026-08-09,HAMP,PRDP,capesize,15.25,16,False,9.10061594166974,604.4024563972238
2026-08-10,HAMP,PRDP,capesize,15.12,15,False,9.043844308186145,591.6107306566809
2026-08-11,HAMP,PRDP,capesize,15.09,19,False,10.66888164981168,597.0079096362315
2026-08-12,HAMP,PRDP,capesize,15.15,17,False,9.00727800653761,592.6110329165961
2026-08-13,HAMP,PRDP,capesize,15.03,18,False,9.545460774852993,593.3030603301106
2026-08-14,HAMP,PRDP,capesize,15.19,20,False,9.046866071547239,597.3850697639795
2026-08-15,HAMP,PRDP,capesize,15.15,18,False,10.424971207007744,601.182972930123
2026-08-16,HAMP,PRDP,capesize,15.1,15,False,9.330715662551983,598.587394293051
2026-08-17,HAMP,PRDP,capesize,15.14,22,True,10.574537021403874,597.1322958016715
2026-08-18,HAMP,PRDP,capesize,15.2,19,False,10.404040286532283,596.2747820959687
2026-08-19,HAMP,PRDP,capesize,15.23,18,False,10.925275663623548,603.0999230230308
2026-08-20,HAMP,PRDP,capesize,15.16,15,False,10.78738866424145,594.5729001773104
2026-08-21,HAMP,PRDP,capesize,15.21,21,False,9.169409630807696,602.2016686875464
2026-08-22,HAMP,PRDP,capesize,15.13,16,False,10.242559254313162,602.1285920783046
2026-08-23,HAMP,PRDP,capesize,15.13,21,False,10.316799349496396,601.9466955334798
2026-08-24,HAMP,PRDP,capesize,15.04,15,False,10.140352131163393,596.284182771368
2026-08-25,HAMP,PRDP,capesize,15.1,15,False,10.77417373916568,594.7820821182446
2026-08-26,HAMP,PRDP,capesize,15.19,19,False,10.311432357712322,597.2191833483654
2026-08-27,HAMP,PRDP,capesize,15.12,22,False,10.796333899246205,594.4580397001871
2026-08-28,HAMP,PRDP,capesize,15.14,22,False,9.314402509426065,590.8985661791227
2026-07-24,HAMP,PRDP,handysize,30.24,22,False,9.229109727853066,593.8635192052556
2026-07-25,HAMP,PRDP,handysize,30.44,20,False,10.0922092381881,594.0985116216818
2026-07-26,HAMP,PRDP,handysize,30.4,17,False,10.596041738121855,604.1320275303412
2026-07-27,HAMP,PRDP,handysize,30.41,20,False,10.927171865058924,590.5494021903468
2026-07-28,HAMP,PRDP,handysize,30.57,22,False,10.302998984972811,601.2855648948844
2026-07-29,HAMP,PRDP,handysize,30.24,20,False,9.138586181939768,598.5653992424559
2026-07-30,HAMP,PRDP,handysize,30.39,21,False,10.868866113816166,594.723535194014
2026-07-31,HAMP,PRDP,handysize,30.43,19,False,10.140836971684955,592.4016250797421
2026-08-01,HAMP,PRDP,handysize,30.09,15,False,9.82845026484093,591.3760152049913
2026-08-02,HAMP,PRDP,handysize,30.47,22,False,10.351933159134875,597.1680706402101
2026-08-03,HAMP,PRDP,handysize,30.5,15,False,9.077061832962862,597.9523549850487
2026-08-04,HAMP,PRDP,handysize,30.43,17,False,9.632251044629545,604.0454070578761
2026-08-05,HAMP,PRDP,handysize,30.49,17,False,9.489040206774199,604.1948689606772
